utterance_id,token_index,error_type,source_word,source_word_length,destination_word,destination_word_length
n000016-fn000029-603.9296-606.2593,5,substitution,winnen,6,account,7
n000016-fn000029-612.3540-614.4362,0,insertion,<ins>,<ins>,wat,3
n000016-fn000029-612.3540-614.4362,1,substitution,uit,3,staat,5
n000016-fn000029-612.3540-614.4362,2,substitution,stad,4,er,2
n000016-fn000029-612.3540-614.4362,4,deletion,uw,2,<del>,<del>
n000016-fn000029-612.3540-614.4362,5,substitution,keuze,5,haar,4
n000016-fn000029-63.6520-65.0492,2,substitution,winkels,7,winkel,6
n000016-fn000029-634.9454-636.0175,1,substitution,lukt,4,klopt,5
n000016-fn000029-651.5219-654.1608,1,substitution,euro,4,uur,3
n000016-fn000029-67.0578-68.7173,1,insertion,<ins>,<ins>,is,2
n000016-fn000029-67.0578-68.7173,2,insertion,<ins>,<ins>,uit,3
n000016-fn000029-67.0578-68.7173,3,substitution,het,3,de,2
n000016-fn000029-675.4270-678.1175,0,substitution,gaat,4,het,3
n000016-fn000029-675.4270-678.1175,1,substitution,wel,3,spel,4
n000016-fn000029-675.4270-678.1175,2,substitution,eens,4,is,2
n000016-fn000029-698.2956-699.8006,1,substitution,mij,3,mijn,4
n000016-fn000029-712.9618-715.2194,4,insertion,<ins>,<ins>,eh,2
n000016-fn000029-717.8522-719.1407,0,deletion,vier,4,<del>,<del>
n000016-fn000029-717.8522-719.1407,1,substitution,vieren,6,verver,6
n000016-fn000029-719.5324-721.8106,0,deletion,ver,3,<del>,<del>
n000016-fn000029-719.5324-721.8106,1,deletion,die,3,<del>,<del>
n000016-fn000029-719.5324-721.8106,2,substitution,jaren,5,verdia,6
n000016-fn000029-719.5324-721.8106,3,substitution,ver,3,verdia,6
n000016-fn000029-723.0385-725.0692,0,deletion,de,2,<del>,<del>
n000016-fn000029-723.0385-725.0692,1,substitution,verdiejaar,10,verder,6
n000016-fn000029-723.0385-725.0692,2,substitution,jarig,5,jaar,4
n000016-fn000029-725.7155-727.2205,0,substitution,felici,6,filiciëf,8
n000016-fn000029-725.7155-727.2205,1,substitution,of,2,eh,2
n000016-fn000029-730.3069-731.7397,0,substitution,verdejarig,10,verder,6
n000016-fn000029-732.9355-733.9663,0,insertion,<ins>,<ins>,veertig,7
n000016-fn000029-732.9355-733.9663,1,substitution,verdejarig,10,jaar,4
n000016-fn000029-737.7977-739.4573,0,insertion,<ins>,<ins>,ik,2
n000016-fn000029-737.7977-739.4573,1,substitution,verdejarig,10,wil,3
n000016-fn000029-737.7977-739.4573,2,substitution,ja,2,die,3
n000016-fn000029-737.7977-739.4573,3,substitution,kom,3,archieven,9
n000016-fn000029-737.7977-739.4573,4,substitution,maar,4,komen,5
n000016-fn000029-743.0752-744.2400,0,substitution,geboren,7,geboord,7
n000016-fn000029-745.2296-746.5491,1,substitution,geboren,7,gebroken,8
n000016-fn000029-747.1365-748.4044,0,deletion,verdiejarig,11,<del>,<del>
n000016-fn000029-747.1365-748.4044,1,substitution,erover,6,verdiende,9
n000016-fn000029-774.6391-775.8761,1,substitution,jarig,5,ja,2
n000016-fn000029-790.2450-792.8427,2,substitution,sporten,7,sport,5
n000016-fn000029-790.2450-792.8427,4,substitution,cursus,6,courses,7
n000016-fn000029-813.8306-816.6241,0,deletion,is,2,<del>,<del>
n000016-fn000029-813.8306-816.6241,1,substitution,geen,4,misschien,9
n000016-fn000029-817.1554-818.9182,1,substitution,voetballen,10,voetbal,7
n000016-fn000029-84.9398-86.5673,0,deletion,heb,3,<del>,<del>
n000016-fn000029-84.9398-86.5673,1,substitution,u,1,hier,4
n000016-fn000029-84.9398-86.5673,2,substitution,verstaan,8,staat,5
n000016-fn000029-842.0752-844.3533,2,substitution,'s,2,s,1
n000016-fn000029-845.0364-847.7372,3,substitution,'s,2,s,1
n000016-fn000029-848.6103-851.2595,2,substitution,'s,2,s,1
n000016-fn000029-866.0864-868.1686,2,substitution,'s,2,s,1
n000016-fn000029-88.9863-90.9117,2,substitution,één,3,een,3
n000016-fn000029-887.3629-889.4305,0,insertion,<ins>,<ins>,wat,3
n000016-fn000029-887.3629-889.4305,2,substitution,voor,4,was,3
n000016-fn000029-887.3629-889.4305,3,substitution,feest,5,het,3
n000016-fn000029-889.4305-891.8986,1,deletion,u,1,<del>,<del>
n000016-fn000029-909.5114-911.6143,0,insertion,<ins>,<ins>,ik,2
n000016-fn000029-909.5114-911.6143,1,substitution,wilt,4,wil,3
n000016-fn000029-909.5114-911.6143,2,substitution,u,1,het,3
n000016-fn000029-95.3471-97.0490,0,insertion,<ins>,<ins>,yes,3
n000016-fn000029-95.3471-97.0490,1,insertion,<ins>,<ins>,dat,3
n000016-fn000029-95.3471-97.0490,2,substitution,verstaan,8,goed,4
n000016-fn000029-97.6507-99.0655,2,substitution,één,3,een,3
n000016-fn000029-971.2284-973.6509,0,insertion,<ins>,<ins>,kan,3
n000016-fn000029-971.2284-973.6509,1,substitution,concei,6,zij,3
n000016-fn000029-971.2284-973.6509,3,insertion,<ins>,<ins>,eh,2
n000016-fn000029-974.8641-975.8022,0,substitution,concei,6,conseille,9
n000016-fn000029-978.0463-980.8604,1,insertion,<ins>,<ins>,ja,2
n000016-fn000029-994.8184-996.6636,2,substitution,lamvlees,8,lamfilet,8
n000019-fn000036-107.9913-110.3762,1,substitution,wilt,4,we,2
n000019-fn000036-107.9913-110.3762,4,substitution,in,2,is,2
n000019-fn000036-143.5175-145.7121,1,deletion,wilt,4,<del>,<del>
n000019-fn000036-143.5175-145.7121,2,substitution,u,1,wil,3
n000019-fn000036-143.5175-145.7121,3,substitution,het,3,je,2
n000019-fn000036-143.5175-145.7121,4,substitution,liefste,7,uitrusten,9
n000019-fn000036-160.2251-161.1962,0,substitution,eten,4,eiter,5
n000019-fn000036-171.9267-173.2568,0,substitution,halal,5,hallo,5
n000019-fn000036-176.3703-178.5835,0,deletion,wilt,4,<del>,<del>
n000019-fn000036-176.3703-178.5835,1,substitution,u,1,wat,3
n000019-fn000036-176.3703-178.5835,3,substitution,reisgids,8,reis,4
n000019-fn000036-176.3703-178.5835,4,substitution,of,2,is,2
n000019-fn000036-176.3703-178.5835,5,substitution,gaat,4,op,2
n000019-fn000036-176.3703-178.5835,6,substitution,u,1,pad,3
n000019-fn000036-178.5835-180.0055,0,insertion,<ins>,<ins>,never,5
n000019-fn000036-178.5835-180.0055,1,substitution,liever,6,saw,3
n000019-fn000036-178.5835-180.0055,2,substitution,zelf,4,love,4
n000019-fn000036-178.5835-180.0055,3,substitution,de,2,dance,5
n000019-fn000036-190.8587-193.0046,1,insertion,<ins>,<ins>,vind,4
n000019-fn000036-190.8587-193.0046,2,substitution,weet,4,het,3
n000019-fn000036-195.7698-198.7638,2,deletion,u,1,<del>,<del>
n000019-fn000036-195.7698-198.7638,3,substitution,niet,4,een,3
n000019-fn000036-195.7698-198.7638,4,substitution,vers,4,nieuw,5
n000019-fn000036-195.7698-198.7638,5,substitution,kunt,4,huis,4
n000019-fn000036-195.7698-198.7638,6,substitution,u,1,gekocht,7
n000019-fn000036-222.8724-224.4621,3,substitution,loptop,6,laptop,6
n000019-fn000036-227.8477-230.1666,0,substitution,die,3,de,2
n000019-fn000036-227.8477-230.1666,2,substitution,voor,4,for,3
n000019-fn000036-235.0733-235.9734,0,substitution,in,2,en,2
n000019-fn000036-235.0733-235.9734,1,substitution,welk,4,wil,3
n000019-fn000036-249.8289-250.7863,0,deletion,nee,3,<del>,<del>
n000019-fn000036-264.9108-266.6317,2,deletion,u,1,<del>,<del>
n000019-fn000036-264.9108-266.6317,5,substitution,weer,4,werk,4
n000019-fn000036-281.2910-283.8092,1,deletion,vindt,5,<del>,<del>
n000019-fn000036-281.2910-283.8092,2,deletion,u,1,<del>,<del>
n000019-fn000036-281.2910-283.8092,3,substitution,van,3,moet,4
n000019-fn000036-281.2910-283.8092,4,substitution,het,3,de,2
n000019-fn000036-281.2910-283.8092,5,substitution,weer,4,volgende,8
n000019-fn000036-291.4597-294.7379,0,deletion,bent,4,<del>,<del>
n000019-fn000036-291.4597-294.7379,1,substitution,u,1,punt,4
n000019-fn000036-291.4597-294.7379,4,substitution,dure,4,dus,3
n000019-fn000036-291.4597-294.7379,5,substitution,spullen,7,plan,4
n000019-fn000036-296.3605-297.4980,0,insertion,<ins>,<ins>,hallo,5
n000019-fn000036-296.3605-297.4980,1,substitution,horloge,7,ja,2
n000019-fn000036-300.3913-302.1842,0,deletion,wilt,4,<del>,<del>
n000019-fn000036-300.3913-302.1842,1,substitution,u,1,wordt,5
n000019-fn000036-300.3913-302.1842,2,substitution,een,3,en,2
n000019-fn000036-314.0266-315.4854,2,substitution,u,1,er,2
n000019-fn000036-333.5574-335.2523,1,substitution,drie,4,die,3
n000019-fn000036-333.5574-335.2523,2,substitution,ander,5,andere,6
n000019-fn000036-333.5574-335.2523,3,substitution,pers,4,pc's,4
n000019-fn000036-336.4035-337.8097,1,substitution,vrienden,8,vriendin,8
n000019-fn000036-341.2057-343.6663,2,deletion,u,1,<del>,<del>
n000019-fn000036-341.2057-343.6663,5,substitution,groeten,7,grote,5
n000019-fn000036-351.4854-352.9473,1,insertion,<ins>,<ins>,vind,4
n000019-fn000036-351.4854-352.9473,2,substitution,geen,4,het,3
n000019-fn000036-351.4854-352.9473,3,substitution,gegrijp,7,grappig,7
n000019-fn000036-357.2440-359.8239,1,deletion,wilt,4,<del>,<del>
n000019-fn000036-357.2440-359.8239,2,deletion,u,1,<del>,<del>
n000019-fn000036-357.2440-359.8239,3,deletion,deze,4,<del>,<del>
n000019-fn000036-357.2440-359.8239,4,deletion,groeten,7,<del>,<del>
n000019-fn000036-357.2440-359.8239,5,substitution,sturen,6,lang,4
n000019-fn000036-357.2440-359.8239,6,substitution,denk,4,is,2
n000019-fn000036-357.2440-359.8239,7,substitution,aan,3,de,2
n000019-fn000036-357.2440-359.8239,8,substitution,een,3,platenstandaard,15
n000019-fn000036-359.8239-362.2847,0,deletion,telefoon,8,<del>,<del>
n000019-fn000036-359.8239-362.2847,1,substitution,email,5,telefoonnummer,14
n000019-fn000036-366.3818-367.6746,0,substitution,u,1,ik,2
n000019-fn000036-366.3818-367.6746,1,substitution,kunt,4,kan,3
n000019-fn000036-366.3818-367.6746,2,substitution,nu,2,het,3
n000019-fn000036-374.5101-375.6832,0,substitution,eten,4,eider,5
n000019-fn000036-383.2389-384.9091,2,substitution,u,1,het,3
n000019-fn000036-405.2114-407.1677,4,deletion,euro,4,<del>,<del>
n000019-fn000036-407.1677-408.6642,0,substitution,dat,3,dan,3
n000019-fn000036-408.6642-411.1503,0,deletion,u,1,<del>,<del>
n000019-fn000036-412.7108-413.9368,0,deletion,ik,2,<del>,<del>
n000019-fn000036-412.7108-413.9368,1,deletion,weet,4,<del>,<del>
n000019-fn000036-412.7108-413.9368,2,substitution,niet,4,vetnet,6
n000019-fn000036-425.5300-427.3195,0,substitution,ga,2,gaan,4
n000019-fn000036-425.5300-427.3195,1,substitution,wel,3,we,2
n000019-fn000036-425.5300-427.3195,3,substitution,een,3,één,3
n000019-fn000036-433.4096-434.9066,0,substitution,waar,4,wat,3
n000019-fn000036-433.4096-434.9066,2,substitution,u,1,hij,3
n000019-fn000036-433.4096-434.9066,3,substitution,dan,3,doen,4
n000019-fn000036-436.3735-437.2319,0,substitution,stad,4,start,5
n000019-fn000036-451.0942-453.1354,2,substitution,niet,4,ik,2
n000019-fn000036-451.0942-453.1354,3,substitution,ge,2,heb,3
n000019-fn000036-463.5243-465.3190,0,insertion,<ins>,<ins>,bij,3
n000019-fn000036-463.5243-465.3190,1,substitution,beetje,6,de,2
n000019-fn000036-463.5243-465.3190,2,substitution,lopen,5,euro,4
n000019-fn000036-463.5243-465.3190,3,substitution,beetje,6,bij,3
n000019-fn000036-480.7358-481.5346,0,deletion,vrije,5,<del>,<del>
n000019-fn000036-480.7358-481.5346,1,substitution,tijd,4,rijden,6
n000019-fn000036-500.3993-501.5809,0,substitution,één,3,en,2
n000019-fn000036-500.3993-501.5809,1,substitution,jaar,4,jij,3
n000019-fn000036-504.1432-505.5013,0,insertion,<ins>,<ins>,ik,2
n000019-fn000036-504.1432-505.5013,1,insertion,<ins>,<ins>,hou,3
n000019-fn000036-504.1432-505.5013,2,substitution,aan,3,van,3
n000019-fn000036-504.1432-505.5013,3,substitution,welk,4,jou,3
n000019-fn000036-518.2628-519.4210,0,deletion,feest,5,<del>,<del>
n000019-fn000036-518.2628-519.4210,1,deletion,was,3,<del>,<del>
n000019-fn000036-518.2628-519.4210,2,substitution,u,1,fietsstraat,11
n000019-fn000036-525.4950-527.6939,2,deletion,feest,5,<del>,<del>
n000019-fn000036-525.4950-527.6939,3,substitution,ja,2,feestje,7
n000019-fn000036-531.0291-533.9592,3,substitution,wilt,4,wil,3
n000019-fn000036-531.0291-533.9592,4,substitution,u,1,je,2
n000019-fn000036-551.8324-554.0444,0,substitution,versieren,9,dank,4
n000019-fn000036-551.8324-554.0444,1,substitution,denk,4,je,2
n000019-fn000036-551.8324-554.0444,2,substitution,aan,3,nog,3
n000019-fn000036-555.2599-556.0127,0,substitution,bloemen,7,bomen,5
n000019-fn000036-560.1900-562.8368,2,substitution,cadeau,6,cadeaun,7
n000019-fn000036-560.1900-562.8368,3,substitution,wilt,4,wil,3
n000019-fn000036-564.9664-566.8053,0,substitution,cadeautje,9,kadoja,6
n000019-fn000036-57.7031-59.9738,2,insertion,<ins>,<ins>,ik,2
n000019-fn000036-576.3326-577.8692,0,insertion,<ins>,<ins>,wat,3
n000019-fn000036-576.3326-577.8692,1,insertion,<ins>,<ins>,heet,4
n000019-fn000036-576.3326-577.8692,2,substitution,welk,4,dat,3
n000019-fn000036-576.3326-577.8692,3,substitution,eten,4,nou,3
n000019-fn000036-576.3326-577.8692,4,substitution,lekker,6,dan,3
n000019-fn000036-586.1454-589.0965,0,deletion,zelf,4,<del>,<del>
n000019-fn000036-593.0204-595.4278,1,substitution,vind,4,kan,3
n000019-fn000036-593.0204-595.4278,2,substitution,u,1,ik,2
n000019-fn000036-593.0204-595.4278,3,substitution,dat,3,niet,4
n000019-fn000036-593.0204-595.4278,4,substitution,zo,2,aan,3
n000019-fn000036-593.0204-595.4278,5,substitution,lekker,6,de,2
n000019-fn000036-596.9025-599.3036,2,substitution,'t,2,het,3
n000019-fn000036-604.9978-606.9193,1,deletion,dank,4,<del>,<del>
n000019-fn000036-604.9978-606.9193,2,deletion,je,2,<del>,<del>
n000019-fn000036-604.9978-606.9193,3,substitution,wel,3,dankjewel,9
n000019-fn000036-63.1274-64.9393,2,substitution,mij,3,my,2
n000019-fn000036-63.1274-64.9393,3,substitution,familie,7,family,6
n000019-fn000036-64.9393-66.8664,0,insertion,<ins>,<ins>,hoe,3
n000019-fn000036-77.9286-79.8359,2,substitution,u,1,er,2
n000019-fn000036-77.9286-79.8359,4,substitution,verstaan,8,van,3
n000019-fn000036-79.8359-82.3719,0,substitution,kun,3,kan,3
n000019-fn000036-79.8359-82.3719,4,substitution,één,3,een,3
n000019-fn000036-90.0059-91.9821,2,substitution,daar,4,dat,3
n000019-fn000036-92.5764-95.3123,2,substitution,mij,3,mijn,4
n000022-fn000042-101.4100-104.3698,3,deletion,m,1,<del>,<del>
n000022-fn000042-101.4100-104.3698,7,insertion,<ins>,<ins>,vlucht,6
n000022-fn000042-101.4100-104.3698,8,substitution,vleigtout,9,uit,3
n000022-fn000042-104.3698-105.5092,0,substitution,naar,4,normaal,7
n000022-fn000042-104.3698-105.5092,1,substitution,marroko,7,ook,3
n000022-fn000042-138.5457-140.0568,1,insertion,<ins>,<ins>,leef,4
n000022-fn000042-138.5457-140.0568,2,substitution,lever,5,voor,4
n000022-fn000042-138.5457-140.0568,3,substitution,zelf,4,mezelf,6
n000022-fn000042-203.0799-204.3058,0,deletion,één,3,<del>,<del>
n000022-fn000042-203.0799-204.3058,1,substitution,boek,4,inbox,5
n000022-fn000042-212.6154-215.3121,0,substitution,met,3,mietje,6
n000022-fn000042-227.7661-229.1037,2,insertion,<ins>,<ins>,vlekken,7
n000022-fn000042-227.7661-229.1037,3,substitution,vliegtout,9,uit,3
n000022-fn000042-277.6001-279.2484,0,insertion,<ins>,<ins>,de,2
n000022-fn000042-277.6001-279.2484,1,substitution,digitaal,8,gitaar,6
n000022-fn000042-277.6001-279.2484,2,substitution,camera,6,kamer,5
n000022-fn000042-28.1541-30.0678,0,substitution,marrakech,9,marax,5
n000022-fn000042-286.1651-289.0370,4,substitution,reisverk,8,reis,4
n000022-fn000042-286.1651-289.0370,5,substitution,verzekering,11,verzekeren,10
n000022-fn000042-313.0715-315.1153,1,insertion,<ins>,<ins>,niet,4
n000022-fn000042-313.0715-315.1153,2,substitution,met,3,te,2
n000022-fn000042-315.1153-317.4569,1,substitution,mensen,6,means,5
n000022-fn000042-315.1153-317.4569,4,substitution,mensen,6,means,5
n000022-fn000042-350.2937-352.3338,1,deletion,verstuur,8,<del>,<del>
n000022-fn000042-350.2937-352.3338,2,deletion,het,3,<del>,<del>
n000022-fn000042-350.2937-352.3338,3,substitution,st,2,wist,4
n000022-fn000042-352.3338-353.5212,2,deletion,e,1,<del>,<del>
n000022-fn000042-352.3338-353.5212,3,substitution,mail,4,email,5
n000022-fn000042-382.6121-385.2181,6,deletion,v,1,<del>,<del>
n000022-fn000042-385.2181-386.3472,0,substitution,zien,4,zina,4
n000022-fn000042-403.3166-404.2013,0,deletion,vrije,5,<del>,<del>
n000022-fn000042-403.3166-404.2013,1,substitution,tijd,4,deze,4
n000022-fn000042-420.7494-422.1181,3,substitution,die,3,de,2
n000022-fn000042-422.1181-424.4684,1,substitution,in,2,een,3
n000022-fn000042-422.1181-424.4684,3,substitution,in,2,een,3
n000022-fn000042-424.4684-425.9903,0,deletion,ander,5,<del>,<del>
n000022-fn000042-424.4684-425.9903,1,substitution,stad,4,onderstaand,11
n000022-fn000042-440.7498-442.0205,0,deletion,ja,2,<del>,<del>
n000022-fn000042-440.7498-442.0205,4,deletion,stad,4,<del>,<del>
n000022-fn000042-442.0205-444.0014,1,substitution,één,3,een,3
n000022-fn000042-444.2828-447.2732,0,substitution,één,3,een,3
n000022-fn000042-444.2828-447.2732,4,deletion,in,2,<del>,<del>
n000022-fn000042-444.2828-447.2732,5,deletion,ga,2,<del>,<del>
n000022-fn000042-444.2828-447.2732,9,deletion,één,3,<del>,<del>
n000022-fn000042-457.0327-458.8163,3,deletion,a,1,<del>,<del>
n000022-fn000042-46.4489-49.1019,0,substitution,ies,3,is,2
n000022-fn000042-46.4489-49.1019,3,substitution,of,2,op,2
n000022-fn000042-462.9974-464.1899,0,insertion,<ins>,<ins>,wat,3
n000022-fn000042-462.9974-464.1899,1,insertion,<ins>,<ins>,moet,4
n000022-fn000042-462.9974-464.1899,2,insertion,<ins>,<ins>,je,2
n000022-fn000042-462.9974-464.1899,3,insertion,<ins>,<ins>,doen,4
n000022-fn000042-462.9974-464.1899,4,insertion,<ins>,<ins>,als,3
n000022-fn000042-462.9974-464.1899,5,insertion,<ins>,<ins>,je,2
n000022-fn000042-462.9974-464.1899,6,substitution,vreemd,6,meer,4
n000022-fn000042-472.0606-473.0934,1,substitution,ik,2,je,2
n000022-fn000042-472.0606-473.0934,2,substitution,heb,3,kijkt,5
n000022-fn000042-473.0934-475.3483,0,substitution,vrije,5,vrij,4
n000022-fn000042-475.3483-476.5795,1,insertion,<ins>,<ins>,eh,2
n000022-fn000042-477.2060-478.5920,0,substitution,tekenen,7,tikken,6
n000022-fn000042-485.6934-486.8807,0,deletion,denk,4,<del>,<del>
n000022-fn000042-485.6934-486.8807,1,substitution,aan,3,de,2
n000022-fn000042-485.6934-486.8807,2,substitution,le,2,kan,3
n000022-fn000042-494.0893-495.3098,0,substitution,lezen,5,lezer,5
n000022-fn000042-494.0893-495.3098,1,substitution,maken,5,mag,3
n000022-fn000042-512.4418-513.4257,0,substitution,rekeningen,10,rekken,6
n000022-fn000042-527.0943-529.6528,2,substitution,schoonzus,9,schrijf,7
n000022-fn000042-527.0943-529.6528,3,substitution,zij,3,zusje,5
n000022-fn000042-529.6528-531.1713,1,substitution,laatst,6,laat,4
n000022-fn000042-546.7950-548.6522,0,substitution,feest,5,is,2
n000022-fn000042-562.8329-563.9492,0,substitution,ballonnen,9,slimme,6
n000022-fn000042-593.5300-595.6293,2,insertion,<ins>,<ins>,eh,2
