source_pos,destination_pos,pair,count,percentage,source_category_error_rate
DET,INTJ,DET -> INTJ,4,0.0439,0.000831
NOUN,INTJ,NOUN -> INTJ,4,0.0439,0.000428
SYM,AUX,SYM -> AUX,4,0.0439,0.012270
ADP,INTJ,ADP -> INTJ,3,0.0329,0.000613
ADV,INTJ,ADV -> INTJ,3,0.0329,0.000833
AUX,SCONJ,AUX -> SCONJ,3,0.0329,0.001276
CCONJ,ADJ,CCONJ -> ADJ,3,0.0329,0.001808
CCONJ,ADV,CCONJ -> ADV,3,0.0329,0.001808
INTJ,NOUN,INTJ -> NOUN,3,0.0329,0.050847
NUM,AUX,NUM -> AUX,3,0.0329,0.003555
NUM,SYM,NUM -> SYM,3,0.0329,0.003555
PRON,NUM,PRON -> NUM,3,0.0329,0.000734
PROPN,SCONJ,PROPN -> SCONJ,3,0.0329,0.002887
SCONJ,VERB,SCONJ -> VERB,3,0.0329,0.004518
VERB,INTJ,VERB -> INTJ,3,0.0329,0.000697
X,ADP,X -> ADP,3,0.0329,0.125000
X,DET,X -> DET,3,0.0329,0.125000
ADV,SCONJ,ADV -> SCONJ,2,0.0219,0.000555
CCONJ,PROPN,CCONJ -> PROPN,2,0.0219,0.001206
NOUN,X,NOUN -> X,2,0.0219,0.000214
PROPN,NUM,PROPN -> NUM,2,0.0219,0.001925
SCONJ,ADV,SCONJ -> ADV,2,0.0219,0.003012
SCONJ,AUX,SCONJ -> AUX,2,0.0219,0.003012
X,NUM,X -> NUM,2,0.0219,0.083333
ADJ,INTJ,ADJ -> INTJ,1,0.0110,0.000277
ADJ,SCONJ,ADJ -> SCONJ,1,0.0110,0.000277
ADJ,X,ADJ -> X,1,0.0110,0.000277
AUX,NUM,AUX -> NUM,1,0.0110,0.000425
AUX,SYM,AUX -> SYM,1,0.0110,0.000425
CCONJ,SCONJ,CCONJ -> SCONJ,1,0.0110,0.000603
INTJ,ADV,INTJ -> ADV,1,0.0110,0.016949
INTJ,PROPN,INTJ -> PROPN,1,0.0110,0.016949
INTJ,SYM,INTJ -> SYM,1,0.0110,0.016949
INTJ,VERB,INTJ -> VERB,1,0.0110,0.016949
SCONJ,ADJ,SCONJ -> ADJ,1,0.0110,0.001506
SCONJ,CCONJ,SCONJ -> CCONJ,1,0.0110,0.001506
SCONJ,DET,SCONJ -> DET,1,0.0110,0.001506
SCONJ,INTJ,SCONJ -> INTJ,1,0.0110,0.001506
SYM,NUM,SYM -> NUM,1,0.0110,0.003067
VERB,X,VERB -> X,1,0.0110,0.000232
X,NOUN,X -> NOUN,1,0.0110,0.041667
X,PRON,X -> PRON,1,0.0110,0.041667
X,PROPN,X -> PROPN,1,0.0110,0.041667
