source_pos,destination_pos,pair,count,percentage,source_category_error_rate
ADV,SCONJ,ADV -> SCONJ,6,0.1275,0.003046
CCONJ,ADV,CCONJ -> ADV,6,0.1275,0.008357
DET,PROPN,DET -> PROPN,6,0.1275,0.004170
INTJ,INTJ,INTJ -> INTJ,6,0.1275,0.008043
NUM,ADV,NUM -> ADV,6,0.1275,0.019737
PROPN,DET,PROPN -> DET,6,0.1275,0.007605
PROPN,SYM,PROPN -> SYM,6,0.1275,0.007605
SYM,AUX,SYM -> AUX,6,0.1275,0.021201
SYM,VERB,SYM -> VERB,6,0.1275,0.021201
VERB,SCONJ,VERB -> SCONJ,6,0.1275,0.002069
ADJ,AUX,ADJ -> AUX,5,0.1063,0.002936
ADJ,SYM,ADJ -> SYM,5,0.1063,0.002936
ADP,INTJ,ADP -> INTJ,5,0.1063,0.002865
ADP,SCONJ,ADP -> SCONJ,5,0.1063,0.002865
AUX,ADJ,AUX -> ADJ,5,0.1063,0.004980
AUX,PROPN,AUX -> PROPN,5,0.1063,0.004980
INTJ,ADP,INTJ -> ADP,5,0.1063,0.006702
INTJ,NOUN,INTJ -> NOUN,5,0.1063,0.006702
NUM,NUM,NUM -> NUM,5,0.1063,0.016447
PROPN,SCONJ,PROPN -> SCONJ,5,0.1063,0.006337
SCONJ,ADP,SCONJ -> ADP,5,0.1063,0.014006
SCONJ,ADV,SCONJ -> ADV,5,0.1063,0.014006
AUX,ADP,AUX -> ADP,4,0.0850,0.003984
AUX,SCONJ,AUX -> SCONJ,4,0.0850,0.003984
CCONJ,ADJ,CCONJ -> ADJ,4,0.0850,0.005571
CCONJ,PRON,CCONJ -> PRON,4,0.0850,0.005571
NOUN,NUM,NOUN -> NUM,4,0.0850,0.001287
SCONJ,NOUN,SCONJ -> NOUN,4,0.0850,0.011204
SYM,ADJ,SYM -> ADJ,4,0.0850,0.014134
VERB,SYM,VERB -> SYM,4,0.0850,0.001379
CCONJ,INTJ,CCONJ -> INTJ,3,0.0638,0.004178
CCONJ,PROPN,CCONJ -> PROPN,3,0.0638,0.004178
DET,NUM,DET -> NUM,3,0.0638,0.002085
DET,SYM,DET -> SYM,3,0.0638,0.002085
INTJ,VERB,INTJ -> VERB,3,0.0638,0.004021
PRON,NUM,PRON -> NUM,3,0.0638,0.000938
PRON,SYM,PRON -> SYM,3,0.0638,0.000938
SCONJ,PROPN,SCONJ -> PROPN,3,0.0638,0.008403
SYM,SCONJ,SYM -> SCONJ,3,0.0638,0.010601
SYM,SYM,SYM -> SYM,3,0.0638,0.010601
ADJ,NUM,ADJ -> NUM,2,0.0425,0.001174
ADV,NUM,ADV -> NUM,2,0.0425,0.001015
CCONJ,AUX,CCONJ -> AUX,2,0.0425,0.002786
INTJ,PROPN,INTJ -> PROPN,2,0.0425,0.002681
NUM,PROPN,NUM -> PROPN,2,0.0425,0.006579
NUM,VERB,NUM -> VERB,2,0.0425,0.006579
SCONJ,AUX,SCONJ -> AUX,2,0.0425,0.005602
SCONJ,VERB,SCONJ -> VERB,2,0.0425,0.005602
SYM,PROPN,SYM -> PROPN,2,0.0425,0.007067
ADP,NUM,ADP -> NUM,1,0.0213,0.000573
AUX,INTJ,AUX -> INTJ,1,0.0213,0.000996
AUX,NUM,AUX -> NUM,1,0.0213,0.000996
AUX,SYM,AUX -> SYM,1,0.0213,0.000996
CCONJ,CCONJ,CCONJ -> CCONJ,1,0.0213,0.001393
CCONJ,SYM,CCONJ -> SYM,1,0.0213,0.001393
INTJ,ADJ,INTJ -> ADJ,1,0.0213,0.001340
INTJ,AUX,INTJ -> AUX,1,0.0213,0.001340
INTJ,DET,INTJ -> DET,1,0.0213,0.001340
INTJ,SYM,INTJ -> SYM,1,0.0213,0.001340
NUM,AUX,NUM -> AUX,1,0.0213,0.003289
NUM,INTJ,NUM -> INTJ,1,0.0213,0.003289
NUM,SYM,NUM -> SYM,1,0.0213,0.003289
PROPN,NUM,PROPN -> NUM,1,0.0213,0.001267
SCONJ,CCONJ,SCONJ -> CCONJ,1,0.0213,0.002801
SYM,NUM,SYM -> NUM,1,0.0213,0.003534
X,ADP,X -> ADP,1,0.0213,0.100000
X,AUX,X -> AUX,1,0.0213,0.100000
X,INTJ,X -> INTJ,1,0.0213,0.100000
X,PRON,X -> PRON,1,0.0213,0.100000
