source_pos,destination_pos,pair,count,percentage,source_category_error_rate
VERB,CCONJ,VERB -> CCONJ,3,0.0741,0.001034
ADP,PROPN,ADP -> PROPN,2,0.0494,0.001146
ADV,CCONJ,ADV -> CCONJ,2,0.0494,0.001015
AUX,CCONJ,AUX -> CCONJ,2,0.0494,0.001992
AUX,NUM,AUX -> NUM,2,0.0494,0.001992
CCONJ,CCONJ,CCONJ -> CCONJ,2,0.0494,0.002786
CCONJ,PRON,CCONJ -> PRON,2,0.0494,0.002786
INTJ,SCONJ,INTJ -> SCONJ,2,0.0494,0.002681
PROPN,NUM,PROPN -> NUM,2,0.0494,0.002535
SCONJ,ADV,SCONJ -> ADV,2,0.0494,0.005602
SCONJ,CCONJ,SCONJ -> CCONJ,2,0.0494,0.005602
SCONJ,SYM,SCONJ -> SYM,2,0.0494,0.005602
X,PRON,X -> PRON,2,0.0494,0.200000
ADJ,SCONJ,ADJ -> SCONJ,1,0.0247,0.000587
ADV,PUNCT,ADV -> PUNCT,1,0.0247,0.000508
AUX,INTJ,AUX -> INTJ,1,0.0247,0.000996
AUX,SCONJ,AUX -> SCONJ,1,0.0247,0.000996
CCONJ,NUM,CCONJ -> NUM,1,0.0247,0.001393
CCONJ,PROPN,CCONJ -> PROPN,1,0.0247,0.001393
INTJ,DET,INTJ -> DET,1,0.0247,0.001340
NUM,AUX,NUM -> AUX,1,0.0247,0.003289
NUM,SYM,NUM -> SYM,1,0.0247,0.003289
NUM,VERB,NUM -> VERB,1,0.0247,0.003289
PUNCT,INTJ,PUNCT -> INTJ,1,0.0247,1.000000
SCONJ,ADJ,SCONJ -> ADJ,1,0.0247,0.002801
SCONJ,PROPN,SCONJ -> PROPN,1,0.0247,0.002801
SYM,PROPN,SYM -> PROPN,1,0.0247,0.003534
SYM,SCONJ,SYM -> SCONJ,1,0.0247,0.003534
X,ADV,X -> ADV,1,0.0247,0.100000
X,INTJ,X -> INTJ,1,0.0247,0.100000
X,VERB,X -> VERB,1,0.0247,0.100000
